[NODE]-[N4]-[1]-[1]     [BEAMCOLUMN]-[E3]-[1]-[2]
0     0
0.000105427     2.44935
0.000210854     4.8987
0.000316281     7.34805
0.000421708     9.79741
0.000527135     12.2468
0.000632562     14.6961
0.00073799     17.1455
0.000843417     19.5948
0.000948844     22.0442
0.00105427     24.4935
0.0011597     26.9429
0.00126512     29.3922
0.00137055     31.8416
0.00147598     34.2909
0.00158141     36.7403
0.00168683     39.1896
0.00179226     41.639
0.00189769     44.0883
0.00200311     46.5377
0.00210854     48.987
0.00221397     51.4364
0.0023194     53.8857
0.00242482     56.3351
0.00253025     58.7844
0.00263568     61.2338
0.0027411     63.6831
0.00284653     66.1325
0.00295196     68.5818
0.00305739     71.0312
0.00316281     73.4805
0.00326824     75.9299
0.00337367     78.3792
0.00347909     80.8286
0.00358452     83.278
0.00368995     85.7273
0.00379537     88.1767
0.0039008     90.626
0.00400623     93.0754
0.00411166     95.5247
0.00421708     97.9741
0.00432251     100.423
0.00442794     102.873
0.00453336     105.322
0.00463879     107.771
0.00474422     110.221
0.00484965     112.67
0.00495507     115.12
0.0050605     117.569
0.00516593     120.018
0.00527135     122.468
0.0050605     117.569
0.00484965     112.67
0.00463879     107.771
0.00442794     102.873
0.00421708     97.9741
0.00400623     93.0754
0.00379537     88.1767
0.00358452     83.278
0.00337367     78.3792
0.00316281     73.4805
0.00295196     68.5818
0.0027411     63.6831
0.00253025     58.7844
0.0023194     53.8857
0.00210854     48.987
0.00189769     44.0883
0.00168683     39.1896
0.00147598     34.2909
0.00126512     29.3922
0.00105427     24.4935
0.000843417     19.5948
0.000632562     14.6961
0.000421708     9.79741
0.000210854     4.8987
4.06576e-19     -1.25225e-14
-0.000210854     -4.8987
-0.000421708     -9.79741
-0.000632562     -14.6961
-0.000843417     -19.5948
-0.00105427     -24.4935
-0.00126512     -29.3922
-0.00147598     -34.2909
-0.00168683     -39.1896
-0.00189769     -44.0883
-0.00210854     -48.987
-0.0023194     -53.8857
-0.00253025     -58.7844
-0.0027411     -63.6831
-0.00295196     -68.5818
-0.00316281     -73.4805
-0.00337367     -78.3792
-0.00358452     -83.278
-0.00379537     -88.1767
-0.00400623     -93.0754
-0.00421708     -97.9741
-0.00442794     -102.873
-0.00463879     -107.771
-0.00484965     -112.67
-0.0050605     -117.569
-0.00527135     -122.468
-0.0050605     -117.569
-0.00484965     -112.67
-0.00463879     -107.771
-0.00442794     -102.873
-0.00421708     -97.9741
-0.00400623     -93.0754
-0.00379537     -88.1767
-0.00358452     -83.278
-0.00337367     -78.3792
-0.00316281     -73.4805
-0.00295196     -68.5818
-0.0027411     -63.6831
-0.00253025     -58.7844
-0.0023194     -53.8857
-0.00210854     -48.987
-0.00189769     -44.0883
-0.00168683     -39.1896
-0.00147598     -34.2909
-0.00126512     -29.3922
-0.00105427     -24.4935
-0.000843417     -19.5948
-0.000632562     -14.6961
-0.000421708     -9.79741
-0.000210854     -4.8987
4.60786e-19     1.51246e-14
0.000210854     4.8987
0.000421708     9.79741
0.000632562     14.6961
0.000843417     19.5948
0.00105427     24.4935
0.00126512     29.3922
0.00147598     34.2909
0.00168683     39.1896
0.00189769     44.0883
0.00210854     48.987
0.0023194     53.8857
0.00253025     58.7844
0.0027411     63.6831
0.00295196     68.5818
0.00316281     73.4805
0.00337367     78.3792
0.00358452     83.278
0.00379537     88.1767
0.00400623     93.0754
0.00421708     97.9741
0.00442794     102.873
0.00463879     107.771
0.00484965     112.67
0.0050605     117.569
0.00527135     122.468
0.0050605     117.569
0.00484965     112.67
0.00463879     107.771
0.00442794     102.873
0.00421708     97.9741
0.00400623     93.0754
0.00379537     88.1767
0.00358452     83.278
0.00337367     78.3792
0.00316281     73.4805
0.00295196     68.5818
0.0027411     63.6831
0.00253025     58.7844
0.0023194     53.8857
0.00210854     48.987
0.00189769     44.0883
0.00168683     39.1896
0.00147598     34.2909
0.00126512     29.3922
0.00105427     24.4935
0.000843417     19.5948
0.000632562     14.6961
0.000421708     9.79741
0.000210854     4.8987
4.06576e-19     -1.25225e-14
-0.000210854     -4.8987
-0.000421708     -9.79741
-0.000632562     -14.6961
-0.000843417     -19.5948
-0.00105427     -24.4935
-0.00126512     -29.3922
-0.00147598     -34.2909
-0.00168683     -39.1896
-0.00189769     -44.0883
-0.00210854     -48.987
-0.0023194     -53.8857
-0.00253025     -58.7844
-0.0027411     -63.6831
-0.00295196     -68.5818
-0.00316281     -73.4805
-0.00337367     -78.3792
-0.00358452     -83.278
-0.00379537     -88.1767
-0.00400623     -93.0754
-0.00421708     -97.9741
-0.00442794     -102.873
-0.00463879     -107.771
-0.00484965     -112.67
-0.0050605     -117.569
-0.00527135     -122.468
-0.0050605     -117.569
-0.00484965     -112.67
-0.00463879     -107.771
-0.00442794     -102.873
-0.00421708     -97.9741
-0.00400623     -93.0754
-0.00379537     -88.1767
-0.00358452     -83.278
-0.00337367     -78.3792
-0.00316281     -73.4805
-0.00295196     -68.5818
-0.0027411     -63.6831
-0.00253025     -58.7844
-0.0023194     -53.8857
-0.00210854     -48.987
-0.00189769     -44.0883
-0.00168683     -39.1896
-0.00147598     -34.2909
-0.00126512     -29.3922
-0.00105427     -24.4935
-0.000843417     -19.5948
-0.000632562     -14.6961
-0.000421708     -9.79741
-0.000210854     -4.8987
4.60786e-19     1.51246e-14
0.000210854     4.8987
0.000421708     9.79741
0.000632562     14.6961
0.000843417     19.5948
0.00105427     24.4935
0.00126512     29.3922
0.00147598     34.2909
0.00168683     39.1896
0.00189769     44.0883
0.00210854     48.987
0.0023194     53.8857
0.00253025     58.7844
0.0027411     63.6831
0.00295196     68.5818
0.00316281     73.4805
0.00337367     78.3792
0.00358452     83.278
0.00379537     88.1767
0.00400623     93.0754
0.00421708     97.9741
0.00442794     102.873
0.00463879     107.771
0.00484965     112.67
0.0050605     117.569
0.00527135     122.468
0.0050605     117.569
0.00484965     112.67
0.00463879     107.771
0.00442794     102.873
0.00421708     97.9741
0.00400623     93.0754
0.00379537     88.1767
0.00358452     83.278
0.00337367     78.3792
0.00316281     73.4805
0.00295196     68.5818
0.0027411     63.6831
0.00253025     58.7844
0.0023194     53.8857
0.00210854     48.987
0.00189769     44.0883
0.00168683     39.1896
0.00147598     34.2909
0.00126512     29.3922
0.00105427     24.4935
0.000843417     19.5948
0.000632562     14.6961
0.000421708     9.79741
0.000210854     4.8987
4.06576e-19     -1.25225e-14
-0.000210854     -4.8987
-0.000421708     -9.79741
-0.000632562     -14.6961
-0.000843417     -19.5948
-0.00105427     -24.4935
-0.00126512     -29.3922
-0.00147598     -34.2909
-0.00168683     -39.1896
-0.00189769     -44.0883
-0.00210854     -48.987
-0.0023194     -53.8857
-0.00253025     -58.7844
-0.0027411     -63.6831
-0.00295196     -68.5818
-0.00316281     -73.4805
-0.00337367     -78.3792
-0.00358452     -83.278
-0.00379537     -88.1767
-0.00400623     -93.0754
-0.00421708     -97.9741
-0.00442794     -102.873
-0.00463879     -107.771
-0.00484965     -112.67
-0.0050605     -117.569
-0.00527135     -122.468
-0.0050605     -117.569
-0.00484965     -112.67
-0.00463879     -107.771
-0.00442794     -102.873
-0.00421708     -97.9741
-0.00400623     -93.0754
-0.00379537     -88.1767
-0.00358452     -83.278
-0.00337367     -78.3792
-0.00316281     -73.4805
-0.00295196     -68.5818
-0.0027411     -63.6831
-0.00253025     -58.7844
-0.0023194     -53.8857
-0.00210854     -48.987
-0.00189769     -44.0883
-0.00168683     -39.1896
-0.00147598     -34.2909
-0.00126512     -29.3922
-0.00105427     -24.4935
-0.000843417     -19.5948
-0.000632562     -14.6961
-0.000421708     -9.79741
-0.000210854     -4.8987
4.60786e-19     1.51246e-14
0.000210854     4.8987
0.000421708     9.79741
0.000632562     14.6961
0.000843417     19.5948
0.00105427     24.4935
0.00126512     29.3922
0.00147598     34.2909
0.00168683     39.1896
0.00189769     44.0883
0.00210854     48.987
0.0023194     53.8857
0.00253025     58.7844
0.0027411     63.6831
0.00295196     68.5818
0.00316281     73.4805
0.00337367     78.3792
0.00358452     83.278
0.00379537     88.1767
0.00400623     93.0754
0.00421708     97.9741
0.00442794     102.873
0.00463879     107.771
0.00484965     112.67
0.0050605     117.569
0.00527135     122.468
0.0050605     117.569
0.00484965     112.67
0.00463879     107.771
0.00442794     102.873
0.00421708     97.9741
0.00400623     93.0754
0.00379537     88.1767
0.00358452     83.278
0.00337367     78.3792
0.00316281     73.4805
0.00295196     68.5818
0.0027411     63.6831
0.00253025     58.7844
0.0023194     53.8857
0.00210854     48.987
0.00189769     44.0883
0.00168683     39.1896
0.00147598     34.2909
0.00126512     29.3922
0.00105427     24.4935
0.000843417     19.5948
0.000632562     14.6961
0.000421708     9.79741
