[NODE]-[N2]-[6]-[1]     [BEAMCOLUMN]-[E3]-[1]-[2]
0     0
6.56144e-06     2.44935
1.31229e-05     4.8987
1.96843e-05     7.34805
2.62458e-05     9.79741
3.28072e-05     12.2468
3.93686e-05     14.6961
4.59301e-05     17.1455
5.24915e-05     19.5948
5.9053e-05     22.0442
6.56144e-05     24.4935
7.21758e-05     26.9429
7.87373e-05     29.3922
8.52987e-05     31.8416
9.18602e-05     34.2909
9.84216e-05     36.7403
0.000104983     39.1896
0.000111544     41.639
0.000118106     44.0883
0.000124667     46.5377
0.000131229     48.987
0.00013779     51.4364
0.000144352     53.8857
0.000150913     56.3351
0.000157475     58.7844
0.000164036     61.2338
0.000170597     63.6831
0.000177159     66.1325
0.00018372     68.5818
0.000190282     71.0312
0.000196843     73.4805
0.000203405     75.9299
0.000209966     78.3792
0.000216528     80.8286
0.000223089     83.278
0.00022965     85.7273
0.000236212     88.1767
0.000242773     90.626
0.000249335     93.0754
0.000255896     95.5247
0.000262458     97.9741
0.000269019     100.423
0.00027558     102.873
0.000282142     105.322
0.000288703     107.771
0.000295265     110.221
0.000301826     112.67
0.000308388     115.12
0.000314949     117.569
0.000321511     120.018
0.000328072     122.468
0.000314949     117.569
0.000301826     112.67
0.000288703     107.771
0.00027558     102.873
0.000262458     97.9741
0.000249335     93.0754
0.000236212     88.1767
0.000223089     83.278
0.000209966     78.3792
0.000196843     73.4805
0.00018372     68.5818
0.000170597     63.6831
0.000157475     58.7844
0.000144352     53.8857
0.000131229     48.987
0.000118106     44.0883
0.000104983     39.1896
9.18602e-05     34.2909
7.87373e-05     29.3922
6.56144e-05     24.4935
5.24915e-05     19.5948
3.93686e-05     14.6961
2.62458e-05     9.79741
1.31229e-05     4.8987
-3.55754e-20     -3.25261e-14
-1.31229e-05     -4.8987
-2.62458e-05     -9.79741
-3.93686e-05     -14.6961
-5.24915e-05     -19.5948
-6.56144e-05     -24.4935
-7.87373e-05     -29.3922
-9.18602e-05     -34.2909
-0.000104983     -39.1896
-0.000118106     -44.0883
-0.000131229     -48.987
-0.000144352     -53.8857
-0.000157475     -58.7844
-0.000170597     -63.6831
-0.00018372     -68.5818
-0.000196843     -73.4805
-0.000209966     -78.3792
-0.000223089     -83.278
-0.000236212     -88.1767
-0.000249335     -93.0754
-0.000262458     -97.9741
-0.00027558     -102.873
-0.000288703     -107.771
-0.000301826     -112.67
-0.000314949     -117.569
-0.000328072     -122.468
-0.000314949     -117.569
-0.000301826     -112.67
-0.000288703     -107.771
-0.00027558     -102.873
-0.000262458     -97.9741
-0.000249335     -93.0754
-0.000236212     -88.1767
-0.000223089     -83.278
-0.000209966     -78.3792
-0.000196843     -73.4805
-0.00018372     -68.5818
-0.000170597     -63.6831
-0.000157475     -58.7844
-0.000144352     -53.8857
-0.000131229     -48.987
-0.000118106     -44.0883
-0.000104983     -39.1896
-9.18602e-05     -34.2909
-7.87373e-05     -29.3922
-6.56144e-05     -24.4935
-5.24915e-05     -19.5948
-3.93686e-05     -14.6961
-2.62458e-05     -9.79741
-1.31229e-05     -4.8987
-1.86347e-20     -2.9924e-14
1.31229e-05     4.8987
2.62458e-05     9.79741
3.93686e-05     14.6961
5.24915e-05     19.5948
6.56144e-05     24.4935
7.87373e-05     29.3922
9.18602e-05     34.2909
0.000104983     39.1896
0.000118106     44.0883
0.000131229     48.987
0.000144352     53.8857
0.000157475     58.7844
0.000170597     63.6831
0.00018372     68.5818
0.000196843     73.4805
0.000209966     78.3792
0.000223089     83.278
0.000236212     88.1767
0.000249335     93.0754
0.000262458     97.9741
0.00027558     102.873
0.000288703     107.771
0.000301826     112.67
0.000314949     117.569
0.000328072     122.468
0.000314949     117.569
0.000301826     112.67
0.000288703     107.771
0.00027558     102.873
0.000262458     97.9741
0.000249335     93.0754
0.000236212     88.1767
0.000223089     83.278
0.000209966     78.3792
0.000196843     73.4805
0.00018372     68.5818
0.000170597     63.6831
0.000157475     58.7844
0.000144352     53.8857
0.000131229     48.987
0.000118106     44.0883
0.000104983     39.1896
9.18602e-05     34.2909
7.87373e-05     29.3922
6.56144e-05     24.4935
5.24915e-05     19.5948
3.93686e-05     14.6961
2.62458e-05     9.79741
1.31229e-05     4.8987
-3.55754e-20     -3.25261e-14
-1.31229e-05     -4.8987
-2.62458e-05     -9.79741
-3.93686e-05     -14.6961
-5.24915e-05     -19.5948
-6.56144e-05     -24.4935
-7.87373e-05     -29.3922
-9.18602e-05     -34.2909
-0.000104983     -39.1896
-0.000118106     -44.0883
-0.000131229     -48.987
-0.000144352     -53.8857
-0.000157475     -58.7844
-0.000170597     -63.6831
-0.00018372     -68.5818
-0.000196843     -73.4805
-0.000209966     -78.3792
-0.000223089     -83.278
-0.000236212     -88.1767
-0.000249335     -93.0754
-0.000262458     -97.9741
-0.00027558     -102.873
-0.000288703     -107.771
-0.000301826     -112.67
-0.000314949     -117.569
-0.000328072     -122.468
-0.000314949     -117.569
-0.000301826     -112.67
-0.000288703     -107.771
-0.00027558     -102.873
-0.000262458     -97.9741
-0.000249335     -93.0754
-0.000236212     -88.1767
-0.000223089     -83.278
-0.000209966     -78.3792
-0.000196843     -73.4805
-0.00018372     -68.5818
-0.000170597     -63.6831
-0.000157475     -58.7844
-0.000144352     -53.8857
-0.000131229     -48.987
-0.000118106     -44.0883
-0.000104983     -39.1896
-9.18602e-05     -34.2909
-7.87373e-05     -29.3922
-6.56144e-05     -24.4935
-5.24915e-05     -19.5948
-3.93686e-05     -14.6961
-2.62458e-05     -9.79741
-1.31229e-05     -4.8987
-1.86347e-20     -2.9924e-14
